Restaurant Name,Category,Rating,Cost for Two (in Rupees),Area,Primary_Cuisine,Price_Category,Rating_Category
Orbis Restaurant,"North Indian, Biryani, Arabian, Chinese, Snacks, Desserts, Beverages",3.9,400,Whitefield,North Indian,Mid-Range,Good
Mallusingh Cook House,"Biryani, Indian, Kerala",3.4,250,Whitefield,Biryani,Mid-Range,Average
Pakka Mane Uta,"South Indian, Indian, Beverages",3.6,200,Whitefield,South Indian,Budget,Good
WarmOven Cakes & Desserts,"Bakery, Desserts, Beverages",3.9,200,Whitefield,Bakery,Budget,Good
UDUPI VEG,South Indian,3.9,300,Whitefield,South Indian,Mid-Range,Good
Sonar Bangla,"Bengali, North Indian, Chinese, Oriya",3.8,250,Whitefield,Bengali,Mid-Range,Good
KFC,"American, Snacks, Biryani",3.7,400,Whitefield,American,Mid-Range,Good
RC EASY SNACKS,Beverages,3.5,300,Whitefield,Beverages,Mid-Range,Average
SRI VENKATESHWARA NELLORE MESS,"Indian, Biryani, Thalis, Chinese, Beverages, Andhra",3.9,300,Whitefield,Indian,Mid-Range,Good
Cupcake Bliss Cakes & Desserts,"Bakery, Desserts, Beverages",3.4,200,Whitefield,Bakery,Budget,Average
The Dessert Zone,"Bakery, Desserts, Ice Cream, Beverages",3.5,200,Whitefield,Bakery,Budget,Average
Raithula Ruchi,"South Indian, Andhra, Fast Food, Snacks",3.7,300,Whitefield,South Indian,Mid-Range,Good
Hyderabadi Handi Biryani,"Biryani, North Indian, Desserts, Andhra, Hyderabadi, Snacks",3.5,300,Whitefield,Biryani,Mid-Range,Average
HUNGRY CHANG,"Chinese, Pan-Asian",3.6,280,Whitefield,Chinese,Mid-Range,Good
Hyderabadi Kitchen,Biryani,3.2,300,Whitefield,Biryani,Mid-Range,Average
TN 81,"Chettinad, South Indian, Biryani",3.6,200,Whitefield,Chettinad,Budget,Good
Gunttor Mirchi,"Andhra, Chinese, North Indian, Biryani",3.5,300,Whitefield,Andhra,Mid-Range,Average
Kerala Kitchen,"Kerala, Seafood",3.7,200,Whitefield,Kerala,Budget,Good
Marwar's,"Rajasthani, North Indian",3.9,150,Whitefield,Rajasthani,Budget,Good
Simpli Namdhari's,"Desserts, Italian, European, Bakery, Beverages",3.7,500,Whitefield,Desserts,Premium,Good
Dhaba Downtown,"North Indian, Tandoor, Chinese, Punjabi, Thalis, Beverages",3.9,300,Whitefield,North Indian,Mid-Range,Good
Madras Meal Company,"South Indian, Chettinad",3.9,350,Whitefield,South Indian,Mid-Range,Good
marwadi chaat tiffin services,"North Indian, Chinese",3.3,300,Whitefield,North Indian,Mid-Range,Average
The Momo Co.,"Chinese, Asian",3.8,250,Whitefield,Chinese,Mid-Range,Good
Rajasthani Tadka Wala,North Indian,3.0,300,Whitefield,North Indian,Mid-Range,Poor
Punjabi Nawabi,"Chinese, North Indian, Tandoor",3.2,400,Whitefield,Chinese,Mid-Range,Average
Keshari Sweets and Snacks,"Sweets, Snacks, Chaat",3.1,100,Whitefield,Sweets,Budget,Average
Kachori Chowk,"North Indian, Rajasthani",3.5,400,Whitefield,North Indian,Mid-Range,Average
Paratha Box by EatFit,"North Indian, Punjabi, Indian, Beverages, Snacks, Healthy Food",3.5,250,Whitefield,North Indian,Mid-Range,Average
Whitefield Dum Biriyani,Biryani,3.9,500,Whitefield,Biryani,Premium,Good
Smoodies & Juices: Yours Fruitfully,"Snacks, Healthy Food, Juices, Beverages, Desserts",3.6,140,Whitefield,Snacks,Budget,Good
Preethis Biryani Hub,Biryani,3.8,200,Whitefield,Biryani,Budget,Good
Vaigai Vilas,"Biryani, Andhra, South Indian, Chinese, Beverages, Chettinad",3.4,280,Whitefield,Biryani,Mid-Range,Average
Curry On Tikka,"North Indian, Punjabi, Mughlai, Thalis, Tandoor, Biryani, Beverages, Chinese",3.8,350,Whitefield,North Indian,Mid-Range,Good
The Farmhouse Kitchen and Bakery,"European, American, German, Italian, Pizzas, Pastas, Salads, Beverages, Desserts...",3.5,900,Whitefield,European,Luxury,Average
The Master's Thali,"Thalis, North Indian",3.9,250,Whitefield,Thalis,Mid-Range,Good
EXPRESS BY AB'S,"Biryani, North Indian, Chinese, South Indian, Kebabs, Pan-Asian",3.2,400,Whitefield,Biryani,Mid-Range,Average
Vinu Green chilli,Indian,3.1,150,Whitefield,Indian,Budget,Average
THE GROOT,"Continental, South Indian, Indian, North Indian, Desserts",3.0,400,Whitefield,Continental,Mid-Range,Poor
Sardarji Londonwaley,"Biryani, Chinese, Punjabi",3.3,400,Whitefield,Biryani,Mid-Range,Average
Dande's Hyderabad Biryani,"Andhra, Biryani, Hyderabadi, Chinese, South Indian",3.4,400,Whitefield,Andhra,Mid-Range,Average
Biryani Mount,"Biryani, North Indian",3.6,400,Whitefield,Biryani,Mid-Range,Good
Kerala Note Book,"Kerala, Biryani, South Indian, North Indian, Desserts, Beverages",3.6,350,Yelahanka,Kerala,Mid-Range,Good
Chinese Wok (Wok Express),"Chinese, Asian, Tibetan, Desserts",3.8,250,Yelahanka,Chinese,Mid-Range,Good
Punjabi Nawabi,"Punjabi, North Indian, Mughlai, Chinese, Indian, Biryani",3.5,150,Yelahanka,Punjabi,Budget,Average
IMPERIO RESTAURANT,"Biryani, Mughlai, North Indian, Tandoor, Kerala, Chinese, Seafood, Beverages, De...",3.3,350,Yelahanka,Biryani,Mid-Range,Average
Kolkata Rolls Corner,"Snacks, Fast Food",3.4,150,Yelahanka,Snacks,Budget,Average
Sardarji Londonwaley,"Punjabi, Mughlai, North Indian, Chinese, Indian, Biryani",3.4,150,Yelahanka,Punjabi,Budget,Average
AB s-Absolute Barbecues,"Barbecue, Biryani, Chinese, Grill, Mughlai, North Indian, Seafood, Kebabs, Pan-A...",3.4,400,Yelahanka,Barbecue,Mid-Range,Average
Punjabi Unplugged,"North Indian, Punjabi, Mughlai, Chinese, Fast Food",3.5,150,Yelahanka,North Indian,Budget,Average
Singh Da Punjabi Dhaba,"North Indian, Mughlai, Chinese, Punjabi",3.6,150,Yelahanka,North Indian,Budget,Good
The Momo Co.,"Chinese, Tibetan, Pan-Asian",3.6,250,Yelahanka,Chinese,Mid-Range,Good
Hyderabad Biryaani House,"Hyderabadi, Biryani, Indian",3.9,350,Yelahanka,Hyderabadi,Mid-Range,Good
Kitchen 6,"Arabian, Biryani, Chinese",3.7,300,Yelahanka,Arabian,Mid-Range,Good
New Kadai Family Restaurant,"Chinese, North Indian, Desserts, Beverages, Seafood",3.9,380,Yelahanka,Chinese,Mid-Range,Good
Santosh Punjabi Dhaba,"Mughlai, North Indian",3.9,200,Yelahanka,Mughlai,Budget,Good
Shree Mahalakshmi Sweets,"Sweets, Snacks",3.9,200,Yelahanka,Sweets,Budget,Good
Tandoori garden,"Indian, Fast Food",3.3,300,Yelahanka,Indian,Mid-Range,Average
Bangarpet panipuri &chats,Chaat,3.4,150,Yelahanka,Chaat,Budget,Average
Mealful Rolls - Meals in a Roll,"Fast Food, North Indian, Desserts",3.7,250,Yelahanka,Fast Food,Mid-Range,Good
Chef's Restaurant,"Indian, Chinese",3.8,200,Yelahanka,Indian,Budget,Good
UBQ by Barbeque Nation,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",3.9,300,Yelahanka,North Indian,Mid-Range,Good
Royal Kolkata Biryani,"Chinese, Biryani, North Indian",3.2,300,Yelahanka,Chinese,Mid-Range,Average
BEST BRAHMIN CATERING,South Indian,3.5,180,Yelahanka,South Indian,Budget,Average
PS Mistikatha,"Sweets, Snacks, Chaat",3.6,170,Yelahanka,Sweets,Budget,Good
Dindigul Thalappakatti,"Biryani, Barbecue, South Indian, Chinese, North Indian",3.8,500,Yelahanka,Biryani,Premium,Good
Basmati Express,"Biryani, Andhra, Hyderabadi, South Indian, North Indian, Tandoor, Beverages, Des...",3.1,300,Yelahanka,Biryani,Mid-Range,Average
China South,Chinese,3.7,350,Yelahanka,Chinese,Mid-Range,Good
Rolls on wheels,Snacks,3.9,300,Yelahanka,Snacks,Mid-Range,Good
WarmOven Cakes & Desserts,"Bakery, Desserts, Beverages",3.8,200,Yelahanka,Bakery,Budget,Good
Barbeque Nation,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",3.8,600,Yelahanka,North Indian,Premium,Good
KFC,"American, Snacks, Biryani",3.8,400,Yelahanka,American,Mid-Range,Good
Ambur Hot Dum Biryani,"North Indian, South Indian, Biryani",3.6,450,Yelahanka,North Indian,Premium,Good
Thalassery Restaurant,"South Indian, Biryani, Kerala, North Indian, Chinese",3.8,300,Yelahanka,South Indian,Mid-Range,Good
Al Falah,"Chinese, Kerala, Mughlai, Punjabi, Hyderabadi",3.8,280,Yelahanka,Chinese,Mid-Range,Good
Sri Curries,"Andhra, Biryani, Coastal, North Indian, Seafood, South Indian",3.9,300,Yelahanka,Andhra,Mid-Range,Good
Wendy's,"American, Burgers, Fast Food, Beverages, Snacks",3.6,200,Yelahanka,American,Budget,Good
Donne Biriyani Mane,"North Indian, Chinese, Biryani",3.8,300,Yelahanka,North Indian,Mid-Range,Good
THARAVADU MALABAR BIRYANI,"Kerala, Biryani, South Indian, Combo",3.2,230,Yelahanka,Kerala,Mid-Range,Average
Chaatimes,"Chaat, Beverages",3.9,150,Yelahanka,Chaat,Budget,Good
Say noodles,"Chinese, Thai, Seafood, Asian, Healthy Food, Beverages",3.7,300,Yelahanka,Chinese,Mid-Range,Good
Dande's Hyderabad Biryani,"Biryani, Andhra, Hyderabadi, South Indian, North Indian, Tandoor, Beverages, Des...",3.5,350,Yelahanka,Biryani,Mid-Range,Average
Cafe Coffee Day,"Beverages, Snacks, Desserts",3.7,300,Yelahanka,Beverages,Mid-Range,Good
Bhagini Pavilion,Indian,3.6,750,Yelahanka,Indian,Luxury,Good
BASMATI'S BRIYANI NATION,"Biryani, Andhra, South Indian, Hyderabadi, North Eastern, Tandoor, Beverages, De...",3.0,300,Yelahanka,Biryani,Mid-Range,Poor
Shaan-e-Punjab,"North Indian, Punjabi, Tandoor, Thalis, Mughlai, Kebabs, Biryani, Beverages, Chi...",3.9,350,Yelahanka,North Indian,Mid-Range,Good
AL- BEK,"Indian, Chinese, Tandoor, Mughlai, Kebabs, Biryani, Arabian, North Indian, Snack...",3.5,400,Yelahanka,Indian,Mid-Range,Average
Janani Fast Food,Fast Food,3.9,150,Yelahanka,Fast Food,Budget,Good
Chicking,"Snacks, Grill, Fast Food, American, Pizzas, Mexican, Beverages",3.9,400,Yelahanka,Snacks,Mid-Range,Good
Darjeelings Foods,"Chinese, North Eastern, Snacks",3.2,200,Yelahanka,Chinese,Budget,Average
Oven Story Pizza,"Pizzas, Italian",3.6,400,Yelahanka,Pizzas,Mid-Range,Good
ZWARMA (The Shawarma maker),"Lebanese, Pizzas",3.6,200,Yelahanka,Lebanese,Budget,Good
Nadan Pothichoru,"South Indian, Kerala, Biryani",3.6,200,Yelahanka,South Indian,Budget,Good
Hyderabadi Bawarchi,"Chinese, Mughlai, Seafood",3.5,600,Yelahanka,Chinese,Premium,Average
Five Star Chicken,"Beverages, Thai",3.3,200,Yelahanka,Beverages,Budget,Average
New Mughal darbar restaurant,North Indian,3.3,150,Yelahanka,North Indian,Budget,Average
Pizza Hut,Pizzas,3.8,350,Yelahanka,Pizzas,Mid-Range,Good
DR Snacks and Restaurant,"Snacks, Indian",3.4,200,Yelahanka,Snacks,Budget,Average
Itminaan Biryani - Dum Pukht,"Biryani, North Indian, Mughlai",3.5,400,Yelahanka,Biryani,Mid-Range,Average
Onesta,"Italian, Desserts, Pizzas, American, Snacks",3.8,200,Yelahanka,Italian,Budget,Good
winni cakes and more,Bakery,3.4,399,Yelahanka,Bakery,Mid-Range,Average
The Good Bowl,"North Indian, Punjabi, Biryani, Chinese, Beverages, Desserts, Jain, Indian, Hyde...",3.1,400,Yelahanka,North Indian,Mid-Range,Average
MEGHDUTH BIRYANIS,"Biryani, Andhra, Hyderabadi, South Indian",3.8,400,Yelahanka,Biryani,Mid-Range,Good
The Biryani Life,"Biryani, Hyderabadi, Lucknowi, North Indian, Mughlai, Desserts",3.3,250,Yelahanka,Biryani,Mid-Range,Average
COOL TOWN,"Beverages, Snacks",3.3,300,Yelahanka,Beverages,Mid-Range,Average
Chikpet Donne Biriyani Corner,"South Indian, Biryani",3.8,300,Yelahanka,South Indian,Mid-Range,Good
The Chaaps BBQ,"North Indian, Barbecue",3.5,200,Yelahanka,North Indian,Budget,Average
Jain's Thatte Idli,"Jain, South Indian",3.6,120,Yelahanka,Jain,Budget,Good
7 TH HEAVEN,"Bakery, Desserts, Ice Cream",3.9,300,Yelahanka,Bakery,Mid-Range,Good
Saucy Wok,"Chinese, Asian, Pan-Asian",3.9,400,Yelahanka,Chinese,Mid-Range,Good
IMPERIO COMBO KING,"Biryani, North Indian, Punjabi, Combo, Beverages, Desserts",3.5,300,Yelahanka,Biryani,Mid-Range,Average
LunchBox - Meals and Thalis,"North Indian, Punjabi, Combo, Biryani, Healthy Food, Jain, Thalis, Indian, Mughl...",3.8,200,Yelahanka,North Indian,Budget,Good
Aligarh House,"Biryani, Mughlai, Kebabs, North Indian, Desserts, Beverages, Combo",3.8,400,Yelahanka,Biryani,Mid-Range,Good
Zomoz - The Momo Company,"Tibetan, Chinese, Asian, Street Food, Fast Food",3.7,250,Yelahanka,Tibetan,Mid-Range,Good
METRO DINE,Indian,3.0,300,Yelahanka,Indian,Mid-Range,Poor
THE PAROTTA COMBO,"North Indian, Punjabi, Mughlai, Beverages, Desserts",3.9,250,Yelahanka,North Indian,Mid-Range,Good
M GRILL,"Grill, Tandoor, North Indian, Beverages, Snacks, Arabian, Mughlai",3.5,300,Yeshwanthpur,Grill,Mid-Range,Average
7 star Ambur Dum Biriyani,Biryani,3.7,250,Yeshwanthpur,Biryani,Mid-Range,Good
Athiti Grand,"Indian, North Indian, South Indian",3.9,200,Yeshwanthpur,Indian,Budget,Good
Hokart - Sri Annapoorna Sweets And Condiments,"Fast Food, Street Food, Snacks, South Indian",3.9,99,Yeshwanthpur,Fast Food,Budget,Good
AB s-Absolute Barbecues,"Barbecue, Italian, Chinese, Mughlai, North Indian, Seafood, Kebabs, Pan-Asian",3.2,400,Yeshwanthpur,Barbecue,Mid-Range,Average
Smoodies & Juices: Yours Fruitfully,"Snacks, Healthy Food, Juices, Beverages, Desserts",3.9,140,Yeshwanthpur,Snacks,Budget,Good
Fish Corner,"Chinese, Coastal, North Indian, South Indian",3.6,300,Yeshwanthpur,Chinese,Mid-Range,Good
BOX8 - Desi Meals,"North Indian, Biryani, Fast Food, Desserts",3.9,250,Yeshwanthpur,North Indian,Mid-Range,Good
NH1 Bowls - Highway To North,"North Indian, Punjabi",3.8,250,Yeshwanthpur,North Indian,Mid-Range,Good
EXPRESS BY AB'S,"Biryani, North Indian, Chinese, South Indian, Kebabs, Pan-Asian",3.8,400,Yeshwanthpur,Biryani,Mid-Range,Good
D-Zaprino,"American, Italian",3.8,300,Yeshwanthpur,American,Mid-Range,Good
AJJI PORK HOTEL,"Chinese, South Indian, Biryani",3.9,300,Yeshwanthpur,Chinese,Mid-Range,Good
Shawarma Time,Arabian,3.6,150,Yeshwanthpur,Arabian,Budget,Good
Itminaan Biryani - Dum Pukht,"Biryani, North Indian, Mughlai",3.5,400,Yeshwanthpur,Biryani,Mid-Range,Average
Kadak Biryani and Grills,"Biryani, Seafood, Andhra, Chinese, Hyderabadi",3.9,350,Yeshwanthpur,Biryani,Mid-Range,Good
Karnataka Hindu Miltry Hotel,South Indian,3.2,400,Yeshwanthpur,South Indian,Mid-Range,Average
Donne Biriyani Angadi,"Biryani, Beverages",3.8,300,Yeshwanthpur,Biryani,Mid-Range,Good
Cupcake Bliss Cakes & Desserts,"Bakery, Desserts, Beverages",3.9,200,Yeshwanthpur,Bakery,Budget,Good
Home Plate by EatFit,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani...",3.4,200,Yeshwanthpur,North Indian,Budget,Average
Q3 food corner,North Indian,3.8,200,Yeshwanthpur,North Indian,Budget,Good
Sundae Everyday Ice Creams,"Desserts, Ice Cream",3.7,150,Yeshwanthpur,Desserts,Budget,Good
KOLKATA FAMOUS KATI ROLL,"Snacks, Beverages",3.2,99,Yeshwanthpur,Snacks,Budget,Average
Maarish Food Joint,North Indian,3.9,200,Yeshwanthpur,North Indian,Budget,Good
New Punjabi Veg Restaurant,"Chinese, North Indian, Punjabi, Hyderabadi",3.5,150,Yeshwanthpur,Chinese,Budget,Average
Paris Family Restaurant,"Chinese, South Indian, Desserts, Fast Food, Kerala, Andhra, Mughlai, Seafood, Pu...",3.6,400,Yeshwanthpur,Chinese,Mid-Range,Good
